"qf","plotname","negative","positive","group","meanYes","meanNo","estimate","estimate1","estimate2",".y.","group1","group2","n1","n2","statistic","p","df","conf.low","conf.high","method","alternative","p.adj","p.adj.signif","change"
"F1","F1 Human Sociability","less sociable","highly sociable","active",0.0453925,0.41291125,-0.36751875,0.0453925,0.41291125,"z","in","out",4,48,-0.659723875277705,0.549,3.65967790292712,-1.97262938373256,1.23759188373256,"T-test","two.sided",0.846075949367089,"ns","neutral"
"F1","F1 Human Sociability","less sociable","highly sociable","affectionate",1.04378444444444,0.24668023255814,0.797104211886305,1.04378444444444,0.24668023255814,"z","in","out",9,43,1.80386153201232,0.0985,11.0626016275323,-0.174812975987902,1.76902139976051,"T-test","two.sided",0.537272727272727,"ns","neutral"
"F1","F1 Human Sociability","less sociable","highly sociable","alert",0.00285000000000001,0.434439347826087,-0.431589347826087,0.00285000000000001,0.434439347826087,"z","in","out",6,46,-0.937957894143638,0.38,6.83079795159444,-1.5251284807898,0.661949785137625,"T-test","two.sided",0.8,"ns","neutral"
"F1","F1 Human Sociability","less sociable","highly sociable","bright_clever_intelligent_smart_very smart",0.316153157894737,0.424072727272727,-0.10791956937799,0.316153157894737,0.424072727272727,"z","in","out",19,33,-0.332608533286647,0.741,43.515949159342,-0.762039751088081,0.5462006123321,"T-test","two.sided",0.894,"ns","neutral"
"F1","F1 Human Sociability","less sociable","highly sociable","calm",0.6265975,0.3644775,0.26212,0.6265975,0.3644775,"z","in","out",4,48,0.690741366569325,0.522,4.80313472233197,-0.725504080757297,1.2497440807573,"T-test","two.sided",0.843157894736842,"ns","neutral"
"F1","F1 Human Sociability","less sociable","highly sociable","charming",0.2469925,0.39611125,-0.14911875,0.2469925,0.39611125,"z","in","out",4,48,-0.229997288313386,0.831,3.46082835297752,-2.06541049404051,1.76717299404051,"T-test","two.sided",0.93196261682243,"ns","neutral"
"F1","F1 Human Sociability","less sociable","highly sociable","curious",-0.1862675,0.43221625,-0.61848375,-0.1862675,0.43221625,"z","in","out",4,48,-1.05582735330918,0.357,3.57468270933341,-2.3241065349646,1.0871390349646,"T-test","two.sided",0.8,"ns","neutral"
"F1","F1 Human Sociability","less sociable","highly sociable","devoted_loyal",1.41121875,0.19799,1.21322875,1.41121875,0.19799,"z","in","out",8,44,2.24993653272845,0.0534,8.30572083387649,-0.0223112187603705,2.44876871876037,"T-test","two.sided",0.4512,"ns","neutral"
"F1","F1 Human Sociability","less sociable","highly sociable","energetic_exuberant_lively_peppy",0.342638571428571,0.391174222222222,-0.0485356507936507,0.342638571428571,0.391174222222222,"z","in","out",7,45,-0.0968981744025906,0.925,7.77897252315619,-1.20933543277948,1.11226413119217,"T-test","two.sided",0.963103448275862,"ns","neutral"
"F1","F1 Human Sociability","less sociable","highly sociable","friendly",0.214784,0.425082619047619,-0.210298619047619,0.214784,0.425082619047619,"z","in","out",10,42,-0.512627143271963,0.616,13.8592520761223,-1.09100850534677,0.670411267251531,"T-test","two.sided",0.892048192771084,"ns","neutral"
